area_sqft,bedrooms,bathrooms,floors,property_age,renovation_status,lot_size,distance_city_km,neighborhood_score,crime_rate_index,school_rating,hospital_proximity_km,shopping_center_proximity_km,public_transport_score,parking_availability,property_type,construction_quality,energy_efficiency_score,water_supply_score,electricity_supply_score,internet_availability_score,green_space_index,flood_risk_index,noise_pollution_level,SalePrice,Fireplaces
1600,2,1,1,69,1,16321,7.56,4.2,4.8,5.9,6.35,3.62,6.6,1,1Fam,5,2.2,5.6,4.7,4.6,9.2,8.9,3.2,207500,2
520,1,1,1,99,1,6324,2.87,4.6,4.4,5,7.61,5.53,7.7,1,1Fam,4,0,4,5.5,4.8,2.4,8.9,7.3,68500,0
1317,3,1,2,106,1,8500,3.65,3.7,7.2,3.9,7.36,8.94,5.8,1,1Fam,4,0,5,3.5,3.6,5.8,10,4.8,40000,0
1228,3,1.5,1,60,1,8544,6.12,6.3,5.8,5.5,7.21,5.72,7.4,1,1Fam,5,3.5,5,5.6,4.4,6.5,4.9,3.6,149350,0
1234,3,2,1,19,0,11049,5.51,7.7,2.5,8.1,4.36,4.37,7.3,1,1Fam,8,8.2,8.6,7.7,7.9,6.7,1.4,4.2,179900,0
1700,4,1.5,1,67,0,10552,4.22,5.1,6.5,3.8,6.09,6.4,7.1,1,1Fam,5,0.9,5.1,5.3,4.7,8.7,8.4,4.6,165500,1
1561,2,2,1,21,0,7313,4.48,9.8,0.1,10,4.27,1.24,7,1,TwnhsE,9,7.4,9.3,9.3,9.3,5.6,1,4,277500,1
2452,4,3.5,2,22,1,13418,5.49,9,3.7,9.2,3.02,2.3,4.8,1,1Fam,8,5.9,7.2,8.6,8,8,2.8,5,309000,1
1097,3,1.5,1,32,1,10859,5.64,6,5.9,5.7,5.38,4.96,6.8,1,1Fam,5,6.7,5.2,4.9,5.3,7.3,3.6,4.7,145000,0
1297,3,1,1,72,1,8532,2.31,5.6,4.8,4.1,7.38,3.26,8.8,1,1Fam,5,0.7,4.6,6,4.9,8.2,7.2,6.5,153000,1
1057,3,1,1,73,1,7922,2.63,5.5,6.1,5.3,6.18,5.02,9.3,1,1Fam,5,0.4,4.6,4.7,4.7,4,7.8,6.6,109000,0
1152,2,2,1,71,0,6040,3.22,4.3,4.9,2.8,8.32,7.21,9.7,0,Duplex,4,1.1,4.9,4.1,3.7,4.6,5.9,7.9,82000,0
1324,3,2,1,61,0,8658,5.07,6.4,3.2,7.6,3.6,3.4,7,1,1Fam,6,2.4,5.9,6.1,7,5.4,7.8,4.1,160000,1
1328,2,1.5,1,67,0,16905,8.62,4.7,4.4,4.7,8.39,5.41,4.6,1,1Fam,5,2.5,4.5,4.4,5.1,10,8.6,1.5,170000,2
884,2,1,1,43,0,9180,4.47,4.6,4.5,6.4,7.67,5.85,8.2,1,1Fam,5,5.2,4.8,4.9,4,7.4,4.3,5.3,144000,0
938,3,1,1,51,1,9200,4.3,5,3.9,6.2,5.5,4.09,8.3,1,1Fam,5,3.5,4.3,5.1,4.7,5.7,7.5,6.2,130250,0
1150,3,1,1,67,0,7945,2.49,4.9,6.2,4.9,5.52,4.55,8.4,1,1Fam,5,2.4,5.7,4.8,5,6.4,6.3,6.6,141000,0
1752,2,2,1,21,0,7658,3.11,8.8,0.7,9.1,4.67,0,6.1,1,TwnhsE,9,7.8,8.7,10,9.9,7.3,2.5,7,319900,1
2149,1,1.5,2,23,0,12822,5.95,7.3,3.4,7.9,4.26,2.18,5.9,1,1Fam,7,6.7,7.3,6.6,7.5,8.6,3.7,4.2,239686,1
1656,3,2,1,20,0,11096,6.61,8.5,1.4,8.2,3.17,0.71,7.2,1,1Fam,8,7.4,8.7,8.6,7.5,8.2,1.5,3.6,249700,0
1452,2,2,2,106,1,4456,2.57,4,4.2,4.5,5.73,5.1,9.4,0,2fmCon,4,0,3.7,4.4,5.2,2.4,9.2,7.5,113000,0
955,3,1,1,60,0,7742,2.11,5.7,5.3,5.2,6.65,6.42,8.8,1,1Fam,5,3,5.3,5,5,5.2,4.4,8.2,127000,0
1470,3,2,2,29,0,13869,7.26,5.4,2.1,5.4,5.77,3.08,6.7,1,1Fam,6,6,5.5,5.6,6.6,9.1,5,4.9,177000,0
1176,3,1,1,92,1,6240,2.73,5.9,3.9,5,6.72,4.13,8.8,1,1Fam,6,0,7.2,5.6,5.4,5,8.7,9.8,114500,1
816,2,1,1,63,0,8472,3.56,4.6,3.6,5.7,5.6,4.5,8,1,Duplex,5,4.1,5.5,4.7,3.8,6.9,6.1,5.8,110000,0
1842,0,0.5,1,45,1,50271,25.75,8.1,3,9.5,1.48,2.18,0,1,1Fam,9,5.3,8.9,8.1,8.3,10,3.4,0,385000,1
1360,3,1,1,71,0,7134,4.6,5,5.9,5.1,7.45,6.31,8.5,1,1Fam,5,0.4,4.6,4.5,3.4,6.3,8,6,130000,1
1425,3,2,1,62,0,10175,6.02,5.9,4.1,7.1,7.01,4.86,7.5,1,1Fam,6,2.8,5.9,5.3,7.1,8.3,5.4,4.2,180500,1
1739,3,2.5,2,27,1,2645,0.48,8.8,3.3,9.6,2.43,2.31,9.1,1,Twnhs,8,6.7,7.8,8.7,8.1,2.6,2.2,10,172500,0
1720,3,2.5,2,22,0,11645,5.51,7.3,2.2,7.5,6.08,2.77,7.2,1,1Fam,7,7.6,8,7.3,6.5,7.2,2.5,4.8,196500,0
2945,3,3.5,2,20,0,13682,7.17,9.5,0.5,10,2.04,0,7.1,1,1Fam,10,7.6,9.4,10,10,8.5,0.9,2.9,438780,1
780,2,1,1,54,0,7200,4.58,5.9,5.2,5.9,8.09,6.94,8.5,1,1Fam,5,4.4,5.1,5.3,5.1,4,5.2,6.6,124900,0
1158,3,1.5,1,22,0,13072,6.06,6.6,4.3,5.7,5.93,3.24,7.1,1,1Fam,6,7.6,6,6.1,6.3,9.7,3.6,5.2,158000,0
1111,3,1,2,106,1,7200,3.41,5.3,6.3,5.7,4.48,5.66,9.5,1,1Fam,5,0,4.9,5.7,5.6,3.6,10,5.2,101000,0
1370,2,2,1,20,0,6442,2.11,7.9,2.7,9.2,3.85,3.06,8.7,1,TwnhsE,8,8.5,7.9,7.7,7.9,5,2.1,7.1,202500,1
1710,3,2,2,105,1,10300,3.95,6.5,3.3,8.2,6.06,2.44,6.8,1,1Fam,7,0,6.9,7.1,6.6,5.8,10,5.9,140000,0
2034,3,2.5,2,29,1,9375,5.5,6.8,1.3,6.3,4.11,4.04,8.5,1,1Fam,7,6.5,7.4,7.4,7.4,7.1,2.5,4.6,219500,0
2473,4,2.5,2,22,1,9591,6.15,8.5,1,8.3,3.61,2.76,6.2,1,1Fam,8,7.6,8.3,7.3,8.4,6.4,4.2,3.6,317000,1
2207,3,2,1,56,1,19900,9.88,7.9,2.9,7.1,4.82,4.73,3.9,1,1Fam,7,2.9,7.2,8.5,7.1,10,4.8,0.6,180000,1
1479,3,2,1,23,0,10665,6.34,7.8,3.1,7.8,2.1,2.53,7.7,1,1Fam,7,7.1,5.5,7,8.1,8.3,2.5,4.7,226000,0
747,2,1,1,81,1,4608,2.67,3.8,4.9,4.7,9.67,4.71,9.4,1,1Fam,4,0,4.1,4.1,3.8,4.5,8.2,9.1,80000,0
2287,3,2,2,73,0,15593,7.15,6.4,5.4,8.7,4.1,2.49,4.9,1,1Fam,7,0.1,6.2,7.6,6.6,10,8.3,3.4,225000,1
2223,3,2,1,53,0,13651,7.19,7.1,4.5,7.4,5.51,3.21,6.2,1,1Fam,7,2.4,7.3,7.5,7.2,9.2,6.4,2,244000,2
845,2,1,1,44,1,7599,5.34,3.1,6.6,4.1,7.91,6.06,7.5,1,1Fam,4,3.1,4.7,4,3.7,3.9,4.4,4.5,129500,0
1718,3,2.5,2,28,0,10141,5.03,7.2,3.1,8.5,6.26,2.61,7,1,1Fam,7,5.6,6.5,7.1,7.2,5.7,3.1,4.9,185000,1
1086,3,1,1,72,1,10200,6.66,4.9,4.8,5.7,7.41,3.09,8.4,1,1Fam,5,0.8,4.9,4.2,4.6,4.7,7.5,3.8,144900,0
1605,3,2,2,111,1,5790,0.28,2.8,6,4.2,8.77,7.47,9.3,1,1Fam,3,0,2.7,2.7,2.8,2.8,8.8,10,107400,0
988,2,1,2,53,0,1596,1.62,3.2,6.1,4.6,7.11,7.97,9.6,1,Twnhs,4,3.1,4.6,4.3,4.9,1.1,3.7,10,91000,0
952,2,1,1,70,0,8475,4.32,4.3,6.3,3.6,8.8,6.46,7.3,1,1Fam,4,0,4,4.2,3.8,5.1,6.4,5.2,135750,0
1285,2,1,2,78,1,8635,4.02,4.7,3.8,4.6,5.13,5.61,6.5,1,1Fam,5,1.8,5.9,5.6,4.6,5.6,7.2,6.4,127000,0
1768,4,2,1,58,0,10778,5.48,3.4,6.3,3.3,8.65,6.57,8.7,0,Duplex,4,3.8,4.2,3.9,4.6,7.7,4.6,6.9,136500,0
1230,2,1.5,2,116,1,10440,3.23,3.6,4.8,6,5.9,5.4,8,1,1Fam,5,0,5.1,4.3,4.5,6.7,10,6.2,110000,0
2142,4,2.5,2,58,0,13000,6.28,6,2.1,7.4,7.25,4.93,6,1,1Fam,6,4.7,6,6.5,5.7,7.5,5.8,3.9,193500,1
1337,2,2,1,28,0,4500,2.61,6.9,3.1,7.9,6.16,4.4,9.6,1,TwnhsE,6,5.5,6.4,6.7,6.3,2.9,2.6,6.4,153500,0
1563,3,2,1,19,0,10206,6.58,8.8,1.6,9.4,4.64,1.69,7.4,1,1Fam,8,9.5,7.1,8.4,8.5,5.9,0.6,3.5,245000,1
1065,3,1.5,1,66,0,8892,3.93,4.8,6.9,6.3,7.08,4.2,7.5,1,1Fam,5,0.8,5,4.9,5.6,5.7,6.6,5.3,126500,0
1474,3,2.5,2,31,1,8530,3.46,6.7,3.6,7.3,3.25,2.75,8.3,1,1Fam,7,6.4,7,7.5,6.6,7,0.5,7.6,168500,1
2417,4,2.5,2,35,1,16059,7.53,8.2,0.7,8,3.14,2.31,5.2,1,1Fam,8,4.4,8.4,9.7,8.3,10,3.3,2.6,260000,1
1560,3,2.5,2,21,0,11911,6.87,5.5,4.5,7.2,6.67,3.68,6.7,1,1Fam,6,7.4,5.9,6.1,5.8,9.7,2.2,2.2,174000,1
1224,2,2.5,2,17,0,3951,2.3,6.2,2.5,6.9,6.17,4.31,9.1,1,TwnhsE,6,8.3,5.5,5.3,5.7,4.1,1.9,8.5,164500,0
1526,2,1,1,111,1,8470,3.71,3.4,8.1,3.4,10.18,7.44,7.4,0,1Fam,3,0,3,2.7,3.6,5.1,9.5,6.5,85000,0
990,3,1,1,32,1,8070,4.55,4.6,5.5,4.7,8.4,6.83,8.7,0,1Fam,4,6.7,3.5,4.3,3.7,4.3,3.4,6.4,123600,0
1040,2,1,1,76,0,7200,3.7,3.9,5.9,4.6,7.03,7.28,10,1,1Fam,4,0.6,3,3.2,4.1,4.7,6.6,5.2,109900,0
1235,2,1,1,65,0,8500,5.22,4.9,6.3,6.4,6.2,5.08,7.1,1,1Fam,5,1.4,5.4,5.1,5.1,6.8,5.7,5.2,98600,0
964,2,1,1,105,1,13360,5.98,4.6,3.7,6.4,7.1,3.69,5,1,1Fam,5,0,5.3,5.2,4.5,8.4,10,4.8,163500,0
2291,4,2,2,116,1,7200,3.27,5.6,2.6,7,3.69,3.65,6.2,1,2fmCon,6,0,6.2,6.8,6.5,5.7,10,6.3,133900,1
1786,3,2.5,2,29,0,9337,4.28,5.9,3.4,7.2,7.67,4.04,7.5,1,1Fam,6,5.7,6.7,6.7,6.3,7.4,3,4.5,204750,0
1470,3,2.5,2,33,0,9765,3.42,6.2,5,7,6.44,2.16,6.9,1,1Fam,6,6.8,5.7,6.4,5,5.7,2.5,6.5,185000,1
1588,3,2,1,27,0,10264,5.43,7.5,1.5,7.4,6.23,4.39,7.6,1,1Fam,7,7.8,6.3,5.9,7.1,6.2,2.9,5.8,214000,0
960,3,1,1,61,0,10921,5.72,3.6,3.2,4.9,6.42,6.14,7.4,1,1Fam,4,0.7,4,4.5,3.6,8,7,5.4,94750,0
835,2,1,1,106,1,10625,5.32,5.7,4.5,4.5,8.24,5.38,5.7,1,1Fam,5,0,4.8,5.4,5.5,7.2,10,4.3,83000,0
1225,3,1.5,1,67,0,9320,4.43,3.9,6.6,5.1,10.23,7.37,5.9,0,1Fam,4,3.7,3.6,4.1,3.3,5.5,9.4,4.3,128950,0
1610,3,2,1,49,1,10603,3.89,6,5.2,5.8,4.68,3.37,7.6,1,1Fam,6,4.1,6,5.1,5.8,6.7,4.2,5.7,205000,2
1732,3,2.5,2,41,0,9206,4.18,5.6,3.5,6.8,6.77,4.57,7.8,1,1Fam,6,5.5,5.7,5.6,6.2,6.1,4.4,5.3,178000,1
1535,4,2,1,47,0,7018,3.17,3.8,4.6,4.9,7,4.89,7.8,1,Duplex,5,5.2,4.1,4.4,5,3.1,6.2,7.3,118964,0
1226,3,2,1,17,0,10402,4.4,7.4,4.2,8.1,3.46,2.82,5.7,1,1Fam,7,7.6,6.8,6,7.4,7.7,3.2,5.5,198900,0
1818,4,1.5,2,95,1,7758,3.72,7.4,1.1,7.7,5.49,2.23,8.5,1,1Fam,7,0,6.4,7,6.2,4.7,7.5,5.5,169500,2
1992,3,2.5,2,23,1,9375,5.09,7.9,1.6,7.7,4.83,3.67,8.9,1,1Fam,8,5.8,8.1,7.6,8.8,3.5,2.3,6,250000,1
1047,2,1,1,141,1,10800,7.29,4,6.2,4.7,7.4,5.62,7.6,1,1Fam,4,0,3.7,5.3,4.3,7.2,10,2.9,100000,0
789,2,1,1,78,1,6000,3.17,5.3,5.4,5.1,8.17,5.7,7.7,1,1Fam,5,0.7,5.6,4.9,5.7,3.3,10,7.3,115000,0
1517,3,2,2,107,1,8500,4.51,4.2,4.5,6.1,5.33,3.12,7.9,0,1Fam,5,0,5.8,5.6,5.4,7.4,10,3.8,115000,0
1844,3,2,1,49,0,11751,5.8,5.7,4,6.6,4.51,5.18,5.7,1,1Fam,6,4.9,6.3,5.2,6,7.2,4.5,1.8,190000,1
1855,4,2,2,72,1,9525,2.84,6.4,1.5,6.9,6.14,5.05,8.7,1,1Fam,6,0.2,5.2,5.7,5.4,5.3,6.2,5.7,136900,0
1430,3,2.5,2,26,0,7750,3.85,6.4,2.3,7,5.03,3.1,8.1,1,1Fam,7,6.2,7.8,7,6.7,5.7,4.8,5.7,180000,1
2696,4,2.5,2,19,0,9965,5.04,7.1,3.5,7.3,4.28,2.77,5.7,1,1Fam,7,9.5,7.8,6.5,7.8,6,2.6,5.5,383970,1
2259,3,2,1,73,0,21000,12.96,5.3,3,6.3,6.81,4.4,4.4,1,1Fam,6,0.7,6,5.8,6.7,10,6.5,0,217000,2
2320,3,2.5,2,81,1,7259,3.44,6.2,4.1,7.2,6.53,6.29,8.6,1,1Fam,6,0.1,6.7,5.9,5.7,5.3,7.9,8.2,259500,1
1458,2,2.5,2,27,0,3230,1.92,6,4.4,7.8,6.86,2.24,8.9,1,TwnhsE,6,6.6,5.7,5.9,4.6,1.1,3,8.3,176000,1
1092,3,1,1,64,0,11616,5.77,4.2,4.7,4.9,6.88,5.78,6.8,1,1Fam,5,1.2,4.1,5.9,4.9,6.3,6.9,5.6,139000,1
1125,2,1.5,1,20,1,8536,3.1,5.6,5.2,6.3,7.6,4.09,6.6,1,1Fam,5,9.1,4.6,5.2,4.9,7.4,1.1,6,155000,0
3222,5,3,2,36,0,12376,7.33,6.6,2,6.2,4.55,2.98,7.5,1,1Fam,7,5,7.9,7.2,6.9,8.8,3,3.2,320000,2
1456,3,2.5,2,21,1,8461,4.98,5.6,3.8,5.8,8.05,3.75,7.2,1,1Fam,6,6.2,5.3,6.3,6.3,5.4,0.4,5.1,163990,1
988,1,1,1,57,0,21453,11.52,6.1,4.6,5.9,5.19,3.57,2.5,1,1Fam,6,2.4,6,6.3,6.4,10,6.7,0,180000,2
1123,3,1,2,87,1,6060,2.12,4.6,6.2,3.5,10.11,5.99,8.1,1,1Fam,4,0,4,4,4.5,4.5,8.4,7.6,100000,0
1080,3,1,1,68,0,9464,6.13,5.5,3.4,5.5,6.03,2.87,8.6,1,1Fam,6,0.8,5.7,5.8,6.2,7.3,7.3,4.3,136000,0
1199,2,2,1,33,0,7892,2.54,6,4.2,6.9,4.62,5.03,7.6,1,TwnhsE,6,4.9,5.8,6.1,5.1,4.5,4.7,8.6,153900,0
1586,3,2,1,47,1,17043,9.11,6.2,4.7,6.5,7.37,2.21,7.5,1,1Fam,6,4.7,6,6.6,5.8,10,4.9,0.2,181000,1
754,2,1,1,91,1,6780,5.58,6.3,2,6.9,6.13,4.54,8.7,0,2fmCon,6,0,5.7,6.6,7.2,4,9,4.7,84500,0
958,2,2,1,50,0,4928,1.47,6.1,5.2,7.1,6.85,3.67,9.1,1,TwnhsE,6,4.6,5.3,5.9,6.2,3.1,5.2,6.6,128000,1
840,3,1,1,96,1,4388,1.63,4.8,4.7,5.7,8.22,3.83,8.8,0,1Fam,5,0,5.1,5.4,5.2,3.1,9.7,9.1,87000,1
1348,3,1.5,2,60,0,7590,3.89,5.6,4.4,7.1,6.34,4.2,8,1,1Fam,6,3.3,6.5,5.9,6.2,5.1,7.2,8.1,155000,1
1053,3,1.5,1,68,1,8973,3.98,5,6.2,5.5,6.41,3.44,7.5,1,1Fam,5,1.3,5.4,5,5.2,6.7,7.1,4.8,150000,0
2157,4,2.5,2,60,0,14200,5.55,6.5,1.6,6.9,5.98,3.04,6.1,1,1Fam,7,2.6,6.6,6.8,5.8,10,5.5,4.4,226000,2
2054,3,2.5,2,26,0,12224,6.18,4.5,3.3,7.3,6,2.58,7.5,1,1Fam,6,5.2,5.4,5.9,5.9,6.6,3.6,4.7,244000,1
1327,3,1,1,67,1,7388,2.63,5.2,4.7,5.1,7.69,5.46,7.2,1,1Fam,5,1.5,4.9,5.7,5,3.6,7.9,7.4,150750,0
1296,2,2,1,25,1,6853,3.9,8.5,1.2,8.1,1.85,1.08,7.2,1,1Fam,8,6,8.8,8,8.6,4.2,1.2,6.3,220000,0
1721,3,2.5,1,58,1,10335,4.25,3.8,6.7,5.4,7.45,4.55,6.3,1,1Fam,5,3.4,5.3,5.1,5,8.7,7.3,5.4,180000,1
1682,3,2,1,56,0,10400,6.75,6.5,2.1,7.1,4.36,3.29,9.4,1,1Fam,7,5.6,7.4,6.3,6.2,6.1,6,2.8,174000,1
1214,3,2,1,59,0,10355,4.39,5.3,4.4,5.2,8.65,4.23,7.9,1,1Fam,5,3.1,5.4,4.8,5.2,6.7,6.2,5.5,143000,1
1959,5,3,1,38,1,11070,5.21,8,3.2,7.9,5.62,2.94,7.5,1,Duplex,7,3.3,7.2,6.9,6.6,6.8,4.8,4.8,171000,0
1852,3,2.5,2,27,1,9066,5.35,8,0.8,9,4.24,0.49,6.7,1,1Fam,8,6.3,8.1,7.6,7.4,5.5,2.1,3.5,230000,2
1764,3,2.5,2,29,0,15426,6.48,5.6,3.6,6,6.49,4.63,6.8,1,1Fam,6,6.5,6.3,6,5.6,10,3.9,3.5,231500,0
864,3,1,1,55,0,10500,5.48,3.9,6.3,4.1,7,7.76,7.3,0,1Fam,4,3.2,3.7,3.8,4.3,8.4,5.1,6.1,115000,1
1734,3,2,1,21,0,11645,7.13,7.7,2.7,8.5,6.62,5.79,7.3,1,1Fam,7,6.6,6.3,7,7.6,8.2,0.6,2.5,260000,0
1385,4,2,2,74,0,8520,2.65,4.7,4.9,5.8,8.99,5.09,6.9,1,1Fam,5,1,5.4,5.1,5.2,4.9,6.4,6.1,166000,0
1501,3,2,1,27,0,10335,5.35,6.6,2.5,9.2,5.39,3.79,7.6,1,1Fam,7,5.4,7.6,6.5,7.3,9.6,3.3,4.5,204000,0
1728,6,2,1,63,0,9100,4.81,4.8,3.5,6.3,8.59,3.22,7.3,1,Duplex,5,1.2,4.4,4.8,5.2,6.1,5.4,4.5,125000,0
1709,3,2,2,22,1,2522,2.04,5.5,4.3,7.4,5.43,5.5,8.6,1,Twnhs,6,7.9,6.4,6,6.1,1.1,3.8,6.6,130000,0
875,2,1,1,95,1,6120,1.82,5.1,6.8,4.5,6.2,5.78,9.2,1,1Fam,5,0,5.8,5.6,5.3,5.5,10,8.3,105000,0
2035,3,2.5,2,25,0,9505,3.43,7.8,3,8.2,5.04,2.52,6.1,1,1Fam,7,7.4,7,7.1,5.8,5.9,3.8,5.9,222500,1
1080,3,1,1,22,1,7500,4.27,7.2,3.2,7.7,5.43,4.24,8.7,0,1Fam,7,5.9,6.6,6.7,7.1,6.7,2.3,5.1,141000,0
1344,3,1,2,90,1,6240,3.42,4.9,5.7,5.1,6.61,4.75,9.1,1,1Fam,5,0.5,5.1,5.2,4.5,3.3,9.3,6.7,115000,0
969,3,1.5,1,51,0,10356,5.43,4.9,3.7,5.6,7.54,4.54,6.5,1,1Fam,5,2.9,4.7,5.9,5.6,8.3,3.9,3,122000,0
1710,2,2,1,19,1,13891,7.29,7.2,3.7,9.5,4.31,2.48,5.7,1,1Fam,8,7.4,7.7,8.5,7.9,9.5,2.9,1,372402,1
1993,4,2.5,2,55,0,14803,6.72,6.4,4.2,7,5,2.94,6.1,1,1Fam,6,3.5,6.2,6.3,6,10,5.9,3.9,190000,1
1252,1,1,1,66,1,13500,6.98,6,5.6,6,6.52,5.02,6.9,1,1Fam,6,1.2,5.2,6.4,5.2,10,7.2,1.1,235000,1
1200,4,1,1,103,1,11340,5.96,5.9,3.3,7.1,6.86,2.94,7,1,1Fam,6,0,5.3,6.7,6.5,6.4,10,3.1,125000,0
1096,2,1,2,102,1,9600,4.09,7.6,5.8,6.2,6.17,2.95,8,0,1Fam,6,0,6,6.5,6.3,7.7,9.6,4.1,79000,0
1040,2,1,1,76,0,7200,5.47,5.1,5.8,5.7,8.15,4.09,10,1,1Fam,5,1.5,5,5.3,5.3,3.4,7.5,4,109500,0
1968,4,2.5,2,17,1,12003,6.48,7.6,2.6,8.6,2.78,2.76,6.5,1,1Fam,8,8.7,8.2,8.5,7.6,7,2,4,269500,1
1947,3,2.5,2,22,1,12552,5.08,6.8,3.2,7.5,5.47,2.38,5.1,1,1Fam,7,7.1,7.9,6.5,6.6,7.6,1.3,5,254900,1
2462,4,2.5,2,21,1,19378,10.35,7.6,2.8,8.2,3.83,1.65,6,1,1Fam,7,7.2,7.1,6.2,7.1,10,1.9,2,320000,1
1232,3,2,1,42,0,11120,4.59,6.1,5.2,5.9,4.89,3.39,8.9,1,1Fam,6,7.1,6.3,6.1,5.7,7.4,4.7,6.5,162500,0
2668,3,2.5,2,23,1,13688,7.63,8.3,1.1,10,2.37,0.97,7,1,1Fam,9,8.1,8.5,9,9.2,9,2,1.4,412500,2
